CountryName,Year,Week,D_0_14,D_15_64,D_64m,D_65_74,D_75_84,D_85p,D_65p,D_Total,P_0_14,P_15_64,P_64m,P_65_74,P_75_84,P_85p,P_Total,AveBaselineDeathRate17_19_0_14,ExpBaselineDeaths2020_0_14,ExtraDeathsOverBaseline_0_14,AveBaselineDeathRate17_19_15_64,ExpBaselineDeaths2020_15_64,ExtraDeathsOverBaseline_15_64,ExpBaselineDeaths2020_64m,ExtraDeathsOverBaseline_64m,AveBaselineDeathRate17_19_65_74,ExpBaselineDeaths2020_65_74,ExtraDeathsOverBaseline_65_74,AveBaselineDeathRate17_19_75_84,ExpBaselineDeaths2020_75_84,ExtraDeathsOverBaseline_75_84,AveBaselineDeathRate17_19_85p,ExpBaselineDeaths2020_85p,ExtraDeathsOverBaseline_85p,ExpBaselineDeaths2020_65p,ExtraDeathsOverBaseline_65p,AveBaselineDeathRate17_19_Total,ExpBaselineDeaths2020_Total,ExtraDeathsOverBaseline_Total
Australia,2020,1,7,282,290,416,710,1102,2228,2518,4751724,16490628,21242352,2338091,1298317,528050,25406811,2.0,9.5,-2.5,19.5,321.5,-39.5,330.9,-41.9,193.9,453.3,-37.3,582.1,755.7,-45.7,2120.5,1119.7,-17.7,2328.8,-100.8,101.0,2567.1,-49.1
Australia,2020,2,9,333,342,441,678,1058,2177,2520,4751724,16490628,21242352,2338091,1298317,528050,25406811,2.3,11.2,-2.2,21.0,347.1,-14.1,358.2,-16.2,178.8,418.0,23.0,582.3,756.0,-78.0,2133.2,1126.4,-68.4,2300.4,-123.4,101.0,2567.3,-47.3
Australia,2020,3,8,300,309,422,698,1080,2200,2509,4751724,16490628,21242352,2338091,1298317,528050,25406811,1.9,9.1,-1.1,19.4,319.7,-19.7,328.8,-20.8,181.6,424.6,-2.6,564.0,732.2,-34.2,2141.3,1130.7,-50.7,2287.6,-87.6,99.4,2526.4,-17.4
Australia,2020,4,7,294,302,388,733,1143,2264,2566,4751724,16490628,21242352,2338091,1298317,528050,25406811,2.2,10.5,-3.5,19.9,328.4,-34.4,338.8,-37.8,189.9,444.0,-56.0,569.4,739.3,-6.3,2132.4,1126.0,17.0,2309.3,-45.3,100.6,2557.1,8.9
Australia,2020,5,8,305,313,410,695,1117,2222,2536,4751724,16490628,21242352,2338091,1298317,528050,25406811,2.1,9.8,-1.8,19.9,328.2,-23.2,338.0,-25.0,188.7,441.1,-31.1,568.2,737.7,-42.7,2115.2,1116.9,0.1,2295.7,-73.7,100.1,2543.0,-7.0
Australia,2020,6,8,318,327,430,715,1101,2246,2573,4751724,16490628,21242352,2338091,1298317,528050,25406811,2.2,10.5,-2.5,19.8,325.9,-7.9,336.4,-10.4,184.6,431.6,-1.6,558.9,725.6,-10.6,2129.5,1124.5,-23.5,2281.7,-35.7,99.5,2528.1,44.9
Australia,2020,7,7,341,349,445,740,1062,2247,2596,4751724,16490628,21242352,2338091,1298317,528050,25406811,2.1,9.8,-2.8,20.3,334.5,6.5,344.3,3.7,180.0,420.9,24.1,566.5,735.6,4.4,2195.6,1159.4,-97.4,2315.9,-68.9,101.1,2569.6,26.4
Australia,2020,8,6,326,333,455,687,1143,2285,2618,4751724,16490628,21242352,2338091,1298317,528050,25406811,2.4,11.5,-5.5,19.7,325.3,0.7,336.8,-4.8,193.5,452.5,2.5,577.2,749.4,-62.4,2182.0,1152.2,-9.2,2354.1,-69.1,102.3,2598.3,19.7
Australia,2020,9,10,331,342,411,749,1115,2275,2617,4751724,16490628,21242352,2338091,1298317,528050,25406811,2.1,9.8,0.2,21.2,349.6,-18.6,359.4,-18.4,180.5,422.1,-11.1,617.4,801.6,-52.6,2151.1,1135.9,-20.9,2359.6,-84.6,103.3,2624.4,-7.4
Australia,2020,10,8,327,335,436,718,1138,2292,2628,4751724,16490628,21242352,2338091,1298317,528050,25406811,2.4,11.5,-3.5,21.0,346.5,-19.5,358.0,-23.0,189.8,443.8,-7.8,554.0,719.3,-1.3,2199.0,1161.2,-23.2,2324.2,-32.2,102.0,2591.0,37.0
